Genome_proportion,Contig_size
0,240193
0.01,117691
0.02,78353
0.03,63946
0.04,48518
0.05,38949
0.06,33429
0.07,29182
0.08,25329
0.09,22505
0.1,20081
0.11,17945
0.12,16440
0.13,14951
0.14,13619
0.15,12539
0.16,11429
0.17,10627
0.18,9907
0.19,9250
0.2,8646
0.21,8125
0.22,7678
0.23,7274
0.24,6866
0.25,6548
0.26,6247
0.27,5949
0.28,5678
0.29,5429
0.3,5206
0.31,4997
0.32,4810
0.33,4635
0.34,4458
0.35,4299
0.36,4147
0.37,4007
0.38,3874
0.39,3747
0.4,3627
0.41,3508
0.42,3398
0.43,3298
0.44,3199
0.45,3108
0.46,3016
0.47,2932
0.48,2853
0.49,2777
0.5,2705
0.51,2634
0.52,2564
0.53,2500
0.54,2438
0.55,2381
0.56,2323
0.57,2268
0.58,2214
0.59,2162
0.6,2114
0.61,2065
0.62,2017
0.63,1971
0.64,1927
0.65,1883
0.66,1842
0.67,1804
0.68,1766
0.69,1729
0.7,1693
0.71,1658
0.72,1624
0.73,1592
0.74,1561
0.75,1530
0.76,1502
0.77,1474
0.78,1446
0.79,1420
0.8,1394
0.81,1370
0.82,1345
0.83,1322
0.84,1299
0.85,1275
0.86,1253
0.87,1232
0.88,1212
0.89,1191
0.9,1171
0.91,1153
0.92,1133
0.93,1115
0.94,1098
0.95,1080
0.96,1063
0.97,1047
0.98,1030
0.99,1015
1,1000
