Genome_proportion,Contig_size
0,370142
0.01,204405
0.02,156656
0.03,108651
0.04,85831
0.05,66345
0.06,54514
0.07,45758
0.08,38765
0.09,32615
0.1,28032
0.11,24814
0.12,21850
0.13,19673
0.14,17802
0.15,16050
0.16,14836
0.17,13700
0.18,12673
0.19,11881
0.2,11032
0.21,10359
0.22,9654
0.23,9112
0.24,8584
0.25,8072
0.26,7614
0.27,7218
0.28,6856
0.29,6530
0.3,6206
0.31,5962
0.32,5718
0.33,5472
0.34,5229
0.35,5032
0.36,4824
0.37,4638
0.38,4455
0.39,4289
0.4,4129
0.41,3977
0.42,3844
0.43,3707
0.44,3588
0.45,3468
0.46,3352
0.47,3239
0.48,3134
0.49,3037
0.5,2944
0.51,2859
0.52,2774
0.53,2701
0.54,2625
0.55,2554
0.56,2479
0.57,2413
0.58,2347
0.59,2282
0.6,2223
0.61,2168
0.62,2113
0.63,2063
0.64,2010
0.65,1962
0.66,1917
0.67,1874
0.68,1832
0.69,1792
0.7,1752
0.71,1713
0.72,1675
0.73,1639
0.74,1605
0.75,1570
0.76,1540
0.77,1509
0.78,1479
0.79,1451
0.8,1422
0.81,1394
0.82,1368
0.83,1340
0.84,1315
0.85,1291
0.86,1268
0.87,1246
0.88,1224
0.89,1203
0.9,1182
0.91,1160
0.92,1141
0.93,1122
0.94,1103
0.95,1085
0.96,1066
0.97,1049
0.98,1032
0.99,1015
1,1000
