Genome_proportion,Contig_size
0,257910
0.01,120686
0.02,84387
0.03,66952
0.04,55642
0.05,46045
0.06,40334
0.07,35723
0.08,31444
0.09,28794
0.1,26384
0.11,24501
0.12,22626
0.13,20879
0.14,19447
0.15,18179
0.16,16947
0.17,15811
0.18,14836
0.19,13960
0.2,13144
0.21,12458
0.22,11751
0.23,11175
0.24,10643
0.25,10067
0.26,9565
0.27,9136
0.28,8730
0.29,8368
0.3,7990
0.31,7634
0.32,7311
0.33,6996
0.34,6713
0.35,6438
0.36,6162
0.37,5916
0.38,5692
0.39,5463
0.4,5258
0.41,5054
0.42,4857
0.43,4676
0.44,4514
0.45,4364
0.46,4220
0.47,4071
0.48,3938
0.49,3810
0.5,3689
0.51,3569
0.52,3453
0.53,3342
0.54,3236
0.55,3134
0.56,3036
0.57,2940
0.58,2845
0.59,2763
0.6,2677
0.61,2597
0.62,2518
0.63,2445
0.64,2375
0.65,2312
0.66,2250
0.67,2187
0.68,2127
0.69,2070
0.7,2015
0.71,1964
0.72,1914
0.73,1864
0.74,1816
0.75,1768
0.76,1724
0.77,1681
0.78,1639
0.79,1598
0.8,1559
0.81,1520
0.82,1484
0.83,1449
0.84,1416
0.85,1383
0.86,1350
0.87,1320
0.88,1291
0.89,1264
0.9,1236
0.91,1208
0.92,1182
0.93,1157
0.94,1133
0.95,1109
0.96,1085
0.97,1063
0.98,1041
0.99,1020
1,1000
