Genome_proportion,Contig_size
0,268585
0.01,117461
0.02,73148
0.03,54229
0.04,43216
0.05,35033
0.06,31119
0.07,27197
0.08,24028
0.09,21356
0.1,19594
0.11,18047
0.12,16593
0.13,15479
0.14,14385
0.15,13452
0.16,12675
0.17,11912
0.18,11206
0.19,10530
0.2,9896
0.21,9297
0.22,8753
0.23,8351
0.24,7926
0.25,7498
0.26,7155
0.27,6773
0.28,6457
0.29,6152
0.3,5895
0.31,5622
0.32,5381
0.33,5148
0.34,4937
0.35,4730
0.36,4541
0.37,4370
0.38,4203
0.39,4051
0.4,3907
0.41,3773
0.42,3640
0.43,3509
0.44,3397
0.45,3279
0.46,3173
0.47,3075
0.48,2983
0.49,2891
0.5,2803
0.51,2721
0.52,2644
0.53,2567
0.54,2496
0.55,2425
0.56,2359
0.57,2298
0.58,2240
0.59,2181
0.6,2125
0.61,2072
0.62,2024
0.63,1977
0.64,1932
0.65,1886
0.66,1845
0.67,1805
0.68,1767
0.69,1728
0.7,1693
0.71,1657
0.72,1623
0.73,1590
0.74,1560
0.75,1529
0.76,1499
0.77,1470
0.78,1442
0.79,1415
0.8,1389
0.81,1363
0.82,1339
0.83,1316
0.84,1293
0.85,1271
0.86,1249
0.87,1228
0.88,1206
0.89,1186
0.9,1167
0.91,1147
0.92,1130
0.93,1113
0.94,1095
0.95,1078
0.96,1061
0.97,1045
0.98,1030
0.99,1014
1,1000
